destination_name,state,lat,lng
Tarkarli,Maharashtra,16.0350,73.4900
Sindhudurg,Maharashtra,16.0420,73.4630
Kolhapur,Maharashtra,16.7050,74.2433
Solapur,Maharashtra,17.6599,75.9064
Aurangabad,Maharashtra,19.8762,75.3433
Ratnagiri,Maharashtra,16.9902,73.3120
Lonavala,Maharashtra,18.7557,73.4091
Pune,Maharashtra,18.5204,73.8567
Mahabaleshwar,Maharashtra,17.9237,73.6586
Alibaug,Maharashtra,18.6414,72.8722
North Goa,Goa,15.5553,73.7517
South Goa,Goa,15.2832,73.9862
Panjim,Goa,15.4909,73.8278
Jaipur,Rajasthan,26.9124,75.7873
Udaipur,Rajasthan,24.5854,73.7125
Jodhpur,Rajasthan,26.2389,73.0243
Jaisalmer,Rajasthan,26.9157,70.9083
Pushkar,Rajasthan,26.4897,74.5511
Munnar,Kerala,10.0889,77.0595
Alleppey,Kerala,9.4981,76.3388
Wayanad,Kerala,11.6854,76.1320
Coorg,Karnataka,12.3375,75.8069
Hampi,Karnataka,15.3350,76.4600
Mysuru,Karnataka,12.2958,76.6394
Ooty,Tamil Nadu,11.4102,76.6950
Chettinad,Tamil Nadu,10.1747,78.7844
Madurai,Tamil Nadu,9.9252,78.1198
Kanyakumari,Tamil Nadu,8.0883,77.5385
Manali,Himachal Pradesh,32.2432,77.1892
Kasol,Himachal Pradesh,32.0100,77.3150
Spiti Valley,Himachal Pradesh,32.2461,78.0349
Dharamsala,Himachal Pradesh,32.2190,76.3234
Rishikesh,Uttarakhand,30.0869,78.2676
Mussoorie,Uttarakhand,30.4598,78.0644
Auli,Uttarakhand,30.5280,79.5682
Khajuraho,Madhya Pradesh,24.8318,79.9199
Orchha,Madhya Pradesh,24.9878,78.6398
Pachmarhi,Madhya Pradesh,22.4674,78.4344
Rann of Kutch,Gujarat,23.7842,69.8597
Ahmedabad,Gujarat,23.0225,72.5714
Dwarka,Gujarat,22.2442,68.9685
Puri,Odisha,19.8135,85.8312
Konark,Odisha,19.8876,86.0945
Raghurajpur,Odisha,19.8667,85.8167
Gangtok,Sikkim,27.3389,88.6065
Lachung,Sikkim,27.6891,88.7430
Kaziranga,Assam,26.5775,93.1711
Majuli,Assam,26.9500,94.1600
Tirthan Valley,Himachal Pradesh,31.6410,77.3480
Ziro,Arunachal Pradesh,27.5946,93.8385
Hamirpur,Himachal Pradesh,31.6862,76.5213
Matheran,Maharashtra,18.9865,73.2679
Mount Abu,Rajasthan,24.5926,72.7156
Thekkady,Kerala,9.6031,77.1615
Shimla,Himachal Pradesh,31.1048,77.1734
Nainital,Uttarakhand,29.3803,79.4636
Kodaikanal,Tamil Nadu,10.2381,77.4892
Chikmagalur,Karnataka,13.3153,75.7754
Gokarna,Karnataka,14.5479,74.3188
Jim Corbett,Uttarakhand,29.5300,78.7747
Varkala,Kerala,8.7379,76.7163
Kochi,Kerala,9.9312,76.2673
Rameshwaram,Tamil Nadu,9.2876,79.3129
Nashik,Maharashtra,19.9975,73.7898
Tawang,Arunachal Pradesh,27.5861,91.8594
Leh Ladakh,Ladakh,34.1526,77.5771
Shillong,Meghalaya,25.5788,91.8933
