destination,month,avg_temp_c,avg_rainfall_mm,is_monsoon,activity_type,fit_label
Tarkarli,January,26.2,20.0,False,outdoor,99
Tarkarli,January,26.2,20.0,False,indoor,95
Tarkarli,February,28.2,19.0,False,outdoor,98
Tarkarli,February,28.2,19.0,False,indoor,95
Tarkarli,March,29.9,21.0,False,outdoor,92
Tarkarli,March,29.9,21.0,False,indoor,95
Tarkarli,April,33.4,33.0,False,outdoor,78
Tarkarli,April,33.4,33.0,False,indoor,94
Tarkarli,May,33.9,113.0,False,outdoor,71
Tarkarli,May,33.9,113.0,False,indoor,93
Tarkarli,June,30.4,798.0,True,outdoor,28
Tarkarli,June,30.4,798.0,True,indoor,83
Tarkarli,July,29.9,938.0,True,outdoor,23
Tarkarli,July,29.9,938.0,True,indoor,81
Tarkarli,August,29.4,498.0,True,outdoor,52
Tarkarli,August,29.4,498.0,True,indoor,87
Tarkarli,September,29.6,278.0,True,outdoor,66
Tarkarli,September,29.6,278.0,True,indoor,91
Tarkarli,October,29.4,128.0,False,outdoor,86
Tarkarli,October,29.4,128.0,False,indoor,93
Tarkarli,November,26.9,43.0,False,outdoor,97
Tarkarli,November,26.9,43.0,False,indoor,94
Tarkarli,December,26.7,23.0,False,outdoor,98
Tarkarli,December,26.7,23.0,False,indoor,95
Sindhudurg,January,26.9,14.6,False,outdoor,99
Sindhudurg,January,26.9,14.6,False,indoor,95
Sindhudurg,February,28.9,13.6,False,outdoor,96
Sindhudurg,February,28.9,13.6,False,indoor,95
Sindhudurg,March,30.6,15.6,False,outdoor,90
Sindhudurg,March,30.6,15.6,False,indoor,95
Sindhudurg,April,34.1,27.6,False,outdoor,76
Sindhudurg,April,34.1,27.6,False,indoor,94
Sindhudurg,May,34.6,107.6,False,outdoor,69
Sindhudurg,May,34.6,107.6,False,indoor,93
Sindhudurg,June,31.1,792.6,True,outdoor,26
Sindhudurg,June,31.1,792.6,True,indoor,83
Sindhudurg,July,30.6,932.6,True,outdoor,21
Sindhudurg,July,30.6,932.6,True,indoor,81
Sindhudurg,August,30.1,492.6,True,outdoor,50
Sindhudurg,August,30.1,492.6,True,indoor,87
Sindhudurg,September,30.3,272.6,True,outdoor,64
Sindhudurg,September,30.3,272.6,True,indoor,91
Sindhudurg,October,30.1,122.6,False,outdoor,84
Sindhudurg,October,30.1,122.6,False,indoor,93
Sindhudurg,November,27.6,37.6,False,outdoor,97
Sindhudurg,November,27.6,37.6,False,indoor,94
Sindhudurg,December,27.4,17.6,False,outdoor,99
Sindhudurg,December,27.4,17.6,False,indoor,95
Kolhapur,January,21.7,3.2,False,outdoor,100
Kolhapur,January,21.7,3.2,False,indoor,95
Kolhapur,February,23.7,2.2,False,outdoor,100
Kolhapur,February,23.7,2.2,False,indoor,95
Kolhapur,March,25.7,6.2,False,outdoor,100
Kolhapur,March,25.7,6.2,False,indoor,95
Kolhapur,April,29.2,18.2,False,outdoor,94
Kolhapur,April,29.2,18.2,False,indoor,95
Kolhapur,May,30.1,38.2,False,outdoor,90
Kolhapur,May,30.1,38.2,False,indoor,94
Kolhapur,June,26.6,158.2,True,outdoor,79
Kolhapur,June,26.6,158.2,True,indoor,93
Kolhapur,July,25.7,238.2,True,outdoor,74
Kolhapur,July,25.7,238.2,True,indoor,91
Kolhapur,August,25.2,208.2,True,outdoor,76
Kolhapur,August,25.2,208.2,True,indoor,92
Kolhapur,September,25.4,168.2,True,outdoor,79
Kolhapur,September,25.4,168.2,True,indoor,92
Kolhapur,October,25.2,78.2,False,outdoor,95
Kolhapur,October,25.2,78.2,False,indoor,94
Kolhapur,November,22.7,18.2,False,outdoor,99
Kolhapur,November,22.7,18.2,False,indoor,95
Kolhapur,December,22.2,3.2,False,outdoor,100
Kolhapur,December,22.2,3.2,False,indoor,95
Solapur,January,22.3,0.0,False,outdoor,100
Solapur,January,22.3,0.0,False,indoor,95
Solapur,February,24.3,0.0,False,outdoor,100
Solapur,February,24.3,0.0,False,indoor,95
Solapur,March,26.7,0.0,False,outdoor,100
Solapur,March,26.7,0.0,False,indoor,95
Solapur,April,30.2,11.0,False,outdoor,91
Solapur,April,30.2,11.0,False,indoor,95
Solapur,May,31.6,31.0,False,outdoor,85
Solapur,May,31.6,31.0,False,indoor,95
Solapur,June,28.1,151.0,True,outdoor,80
Solapur,June,28.1,151.0,True,indoor,93
Solapur,July,26.7,231.0,True,outdoor,75
Solapur,July,26.7,231.0,True,indoor,91
Solapur,August,26.2,201.0,True,outdoor,77
Solapur,August,26.2,201.0,True,indoor,92
Solapur,September,26.4,161.0,True,outdoor,79
Solapur,September,26.4,161.0,True,indoor,93
Solapur,October,26.2,71.0,False,outdoor,95
Solapur,October,26.2,71.0,False,indoor,94
Solapur,November,23.7,11.0,False,outdoor,99
Solapur,November,23.7,11.0,False,indoor,95
Solapur,December,22.8,0.0,False,outdoor,100
Solapur,December,22.8,0.0,False,indoor,95
Aurangabad,January,20.1,1.4,False,outdoor,100
Aurangabad,January,20.1,1.4,False,indoor,95
Aurangabad,February,22.1,0.4,False,outdoor,100
Aurangabad,February,22.1,0.4,False,indoor,95
Aurangabad,March,25.5,4.4,False,outdoor,100
Aurangabad,March,25.5,4.4,False,indoor,95
Aurangabad,April,29.0,16.4,False,outdoor,95
Aurangabad,April,29.0,16.4,False,indoor,95
Aurangabad,May,31.4,36.4,False,outdoor,85
Aurangabad,May,31.4,36.4,False,indoor,94
Aurangabad,June,27.9,156.4,True,outdoor,80
Aurangabad,June,27.9,156.4,True,indoor,93
Aurangabad,July,25.5,236.4,True,outdoor,74
Aurangabad,July,25.5,236.4,True,indoor,91
Aurangabad,August,25.0,206.4,True,outdoor,76
Aurangabad,August,25.0,206.4,True,indoor,92
