destination,date,price,is_holiday,occupancy_pct,tier,hotel_tier
Tarkarli,2026-01-26,1060,True,64,gem,1
Tarkarli,2026-01-26,2070,True,68,gem,2
Tarkarli,2026-01-26,4100,True,80,gem,3
Tarkarli,2026-01-26,7060,True,63,gem,4
Tarkarli,2026-01-26,16710,True,81,gem,5
Tarkarli,2026-02-05,850,False,63,gem,1
Tarkarli,2026-02-05,1710,False,47,gem,2
Tarkarli,2026-02-05,3380,False,59,gem,3
Tarkarli,2026-02-05,6000,False,56,gem,4
Tarkarli,2026-02-05,14720,False,57,gem,5
Tarkarli,2026-03-10,890,False,50,gem,1
Tarkarli,2026-03-10,1690,False,56,gem,2
Tarkarli,2026-03-10,3370,False,51,gem,3
Tarkarli,2026-03-10,6090,False,63,gem,4
Tarkarli,2026-03-10,14160,False,58,gem,5
Tarkarli,2026-04-15,820,False,56,gem,1
Tarkarli,2026-04-15,1850,False,38,gem,2
Tarkarli,2026-04-15,3220,False,38,gem,3
Tarkarli,2026-04-15,5960,False,41,gem,4
Tarkarli,2026-04-15,14250,False,48,gem,5
Tarkarli,2026-05-20,890,False,63,gem,1
Tarkarli,2026-05-20,1900,False,42,gem,2
Tarkarli,2026-05-20,3190,False,39,gem,3
Tarkarli,2026-05-20,5820,False,60,gem,4
Tarkarli,2026-05-20,14670,False,61,gem,5
Tarkarli,2026-06-25,800,False,48,gem,1
Tarkarli,2026-06-25,1830,False,54,gem,2
Tarkarli,2026-06-25,3180,False,53,gem,3
Tarkarli,2026-06-25,5950,False,44,gem,4
Tarkarli,2026-06-25,13880,False,55,gem,5
Tarkarli,2026-07-04,830,False,44,gem,1
Tarkarli,2026-07-04,1730,False,47,gem,2
Tarkarli,2026-07-04,3300,False,57,gem,3
Tarkarli,2026-07-04,5990,False,63,gem,4
Tarkarli,2026-07-04,14590,False,50,gem,5
Tarkarli,2026-08-09,810,False,39,gem,1
Tarkarli,2026-08-09,1800,False,52,gem,2
Tarkarli,2026-08-09,3190,False,41,gem,3
Tarkarli,2026-08-09,5650,False,63,gem,4
Tarkarli,2026-08-09,13530,False,39,gem,5
Tarkarli,2026-09-14,870,False,49,gem,1
Tarkarli,2026-09-14,1880,False,40,gem,2
Tarkarli,2026-09-14,3360,False,51,gem,3
Tarkarli,2026-09-14,5490,False,41,gem,4
Tarkarli,2026-09-14,14220,False,47,gem,5
Tarkarli,2026-10-19,800,False,48,gem,1
Tarkarli,2026-10-19,1880,False,42,gem,2
Tarkarli,2026-10-19,3100,False,62,gem,3
Tarkarli,2026-10-19,5990,False,55,gem,4
Tarkarli,2026-10-19,14390,False,42,gem,5
Tarkarli,2026-11-24,820,False,63,gem,1
Tarkarli,2026-11-24,1780,False,49,gem,2
Tarkarli,2026-11-24,3090,False,54,gem,3
Tarkarli,2026-11-24,5640,False,38,gem,4
Tarkarli,2026-11-24,13580,False,43,gem,5
Tarkarli,2026-12-03,820,False,56,gem,1
Tarkarli,2026-12-03,1890,False,60,gem,2
Tarkarli,2026-12-03,3360,False,49,gem,3
Tarkarli,2026-12-03,5800,False,50,gem,4
Tarkarli,2026-12-03,13840,False,54,gem,5
Sindhudurg,2026-01-19,870,False,47,emerging,1
Sindhudurg,2026-01-19,1770,False,38,emerging,2
Sindhudurg,2026-01-19,3280,False,41,emerging,3
Sindhudurg,2026-01-19,5520,False,44,emerging,4
Sindhudurg,2026-01-19,14450,False,44,emerging,5
Sindhudurg,2026-02-24,820,False,50,emerging,1
Sindhudurg,2026-02-24,1750,False,61,emerging,2
Sindhudurg,2026-02-24,3360,False,45,emerging,3
Sindhudurg,2026-02-24,6050,False,57,emerging,4
